Date,Open,High,Low,Close,Volume,Adj Close
31-12-10,1256.76001,1259.339966,1254.189941,1257.640015,1799770000,1257.640015
03-01-11,1257.619995,1276.170044,1257.619995,1271.869995,4286670000,1271.869995
04-01-11,1272.949951,1274.119995,1262.660034,1270.199951,4796420000,1270.199951
05-01-11,1268.780029,1277.630005,1265.359985,1276.560059,4764920000,1276.560059
06-01-11,1276.290039,1278.170044,1270.430054,1273.849976,4844100000,1273.849976
07-01-11,1274.410034,1276.829956,1261.699951,1271.5,4963110000,1271.5
10-01-11,1270.839966,1271.52002,1262.180054,1269.75,4036450000,1269.75
11-01-11,1272.579956,1277.25,1269.619995,1274.47998,4050750000,1274.47998
12-01-11,1275.650024,1286.869995,1275.650024,1285.959961,4226940000,1285.959961
13-01-11,1285.780029,1286.699951,1280.469971,1283.76001,4310840000,1283.76001
14-01-11,1282.900024,1293.23999,1281.23999,1293.23999,4661590000,1293.23999
18-01-11,1293.219971,1296.060059,1290.160034,1295.02002,5284990000,1295.02002
19-01-11,1294.52002,1294.599976,1278.920044,1281.920044,4743710000,1281.920044
20-01-11,1280.849976,1283.349976,1271.26001,1280.26001,4935320000,1280.26001
21-01-11,1283.630005,1291.209961,1282.069946,1283.349976,4935320000,1283.349976
24-01-11,1283.290039,1291.930054,1282.469971,1290.839966,3902470000,1290.839966
25-01-11,1288.170044,1291.26001,1281.069946,1291.180054,4595380000,1291.180054
26-01-11,1291.969971,1299.73999,1291.969971,1296.630005,4730980000,1296.630005
27-01-11,1297.51001,1301.290039,1294.410034,1299.540039,4309190000,1299.540039
28-01-11,1299.630005,1302.670044,1275.099976,1276.339966,5618630000,1276.339966
31-01-11,1276.5,1287.170044,1276.5,1286.119995,4167160000,1286.119995
01-02-11,1289.140015,1308.859985,1289.140015,1307.589966,5164500000,1307.589966
02-02-11,1305.910034,1307.609985,1302.619995,1304.030029,4098260000,1304.030029
03-02-11,1302.77002,1308.599976,1294.829956,1307.099976,4370990000,1307.099976
04-02-11,1307.01001,1311,1301.670044,1310.869995,3925950000,1310.869995
07-02-11,1311.849976,1322.849976,1311.849976,1319.050049,3902270000,1319.050049
08-02-11,1318.76001,1324.869995,1316.030029,1324.569946,3881530000,1324.569946
09-02-11,1322.47998,1324.540039,1314.890015,1320.880005,3922240000,1320.880005
10-02-11,1318.130005,1322.780029,1311.73999,1321.869995,4184610000,1321.869995
11-02-11,1318.660034,1330.790039,1316.079956,1329.150024,4219300000,1329.150024
14-02-11,1328.72998,1332.959961,1326.900024,1332.319946,3567040000,1332.319946
15-02-11,1330.430054,1330.430054,1324.609985,1328.01001,3926860000,1328.01001
16-02-11,1329.51001,1337.609985,1329.51001,1336.319946,1966450000,1336.319946
17-02-11,1334.369995,1341.5,1331,1340.430054,1966450000,1340.430054
18-02-11,1340.380005,1344.069946,1338.119995,1343.01001,1162310000,1343.01001
22-02-11,1338.910034,1338.910034,1312.329956,1315.439941,1322780000,1315.439941
23-02-11,1315.439941,1317.910034,1299.550049,1307.400024,1330340000,1307.400024
24-02-11,1307.089966,1310.910034,1294.26001,1306.099976,1222900000,1306.099976
25-02-11,1307.339966,1320.609985,1307.339966,1319.880005,3836030000,1319.880005
28-02-11,1321.609985,1329.380005,1320.550049,1327.219971,1252850000,1327.219971
01-03-11,1328.640015,1332.089966,1306.140015,1306.329956,1180420000,1306.329956
02-03-11,1305.469971,1314.189941,1302.579956,1308.439941,1025000000,1308.439941
03-03-11,1312.369995,1332.280029,1312.369995,1330.969971,4340470000,1330.969971
04-03-11,1330.72998,1331.079956,1312.589966,1321.150024,4223740000,1321.150024
07-03-11,1322.719971,1327.680054,1303.98999,1310.130005,3964730000,1310.130005
